R, p, σ,-A', -E
0,0.00000,0.00000,0.00000,4
0.2,0.19640,0.01831,0.02569,3.85741
0.4,0.37956,0.05386,0.09573,3.60157
0.6,0.54852,0.09386,0.19923,3.34301
0.8,0.70529,0.13429,0.32790,3.10895
1.0,0.85199,0.17372,0.47595,2.90356
1.2,0.99038,0.21165,0.63923,2.72461
1.4,1.12186,0.24792,0.81469,2.56853
1.6,1.24755,0.28251,1.00004,2.43186
1.8,1.36836,0.31545,1.19346,2.31162
2.0,1.48501,0.34679,1.39352,2.20525
2.2,1.59813,0.37661,1.59905,2.11076
2.4,1.70823,0.40496,1.80905,2.02642
2.6,1.81577,0.43190,2.02267,1.95090
2.8,1.92111,0.45749,2.23921,1.88299
3.0,2.02460,0.48177,2.45803,1.82178
3.2,2.12654,0.50479,2.67857,1.76647
3.4,2.22719,0.52659,2.90035,1.71639
3.6,2.32679,0.54720,3.12294,1.67097
3.8,2.42554,0.56666,3.34597,1.62971
4,2.52362,0.58502,3.56909,1.59216
4.2,2.62121,0.60231,3.79201,1.55799
4.4,2.71845,0.61857,4.01451,1.52685
4.6,2.81545,0.63384,4.23637,1.49844
4.8,2.91234,0.64816,4.45743,1.47252
5.0,3.00919,0.66157,4.67756,1.44884
5.5,3.25164,0.69145,5.22323,1.39810
6,3.49505,0.71671,5.76182,1.35726
6.5,3.73979,0.73807,6.29359,1.32412
7.0,3.98585,0.75621,6.81922,1.29690
7.5,4.23311,0.77175,7.33975,1.27426
8.0,4.48133,0.78519,7.85608,1.25514
8.5,4.73028,0.79693,8.36915,1.23878
9,4.97979,0.80730,8.87974,1.22461
